,Accuracy,Accuracy_SD,f1,f1_SD,dummy_freq:Accuracy,dummy_freq:f1,LargestClassPercent,Classes,# Classes,Array-Acc-Scores,Array-f1-Scores,bestML-Acc,bestML-f1
NP/SP_Cleaved+NP+Neg_Big,0.9449,0.0103,0.9585,0.0058,0.687,0.814,68.7,['+' '-'],2,"[ 0.95860927  0.93377483  0.94039735  0.95033113  0.96688742  0.94205298
  0.96357616  0.94536424  0.94039735  0.94701987  0.93377483  0.94039735
  0.93708609  0.93211921  0.94205298]","[ 0.96047904  0.94847775  0.96559905  0.96153846  0.96526946  0.96551724
  0.96428571  0.95238095  0.95271868  0.95443645  0.96103896  0.96085409
  0.9616307   0.95136418  0.95136418]","SVC(C=10, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)","SVC(C=10, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)"
Viri/Host-Bac-Vert,0.8946,0.0116,0.9207,0.0076,0.703,0.825,70.3,['Viri_Host_Bact30' 'Virii_Host-Vert_25'],2,"[ 0.89972145  0.8718663   0.89275766  0.88022284  0.88718663  0.89832869
  0.88997214  0.8816156   0.88997214  0.91086351  0.91086351  0.90389972
  0.88718663  0.90668524  0.90807799]","[ 0.92445328  0.92517007  0.91732283  0.91625616  0.9296333   0.93320426
  0.92815534  0.92517007  0.9182266   0.91774034  0.91642085  0.91428571
  0.92899408  0.9063745   0.90835851]","SVC(C=10, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.0, kernel='rbf', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)","SVC(C=10, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)"
Viri/Viri-Capsids,0.77,0.0344,0.759,0.0308,0.604,0.454,60.4,"['Viri_Capsid-Host-Bact-40' 'Viri_Capsid-Host-Metazoa-40'
 'Viri_Capsid-Host-ViridiPlant-40']",3,"[ 0.77  0.78  0.71  0.79  0.76  0.81  0.74  0.8   0.8   0.82  0.7   0.74
  0.77  0.8   0.76]","[ 0.71442735  0.73611301  0.69826638  0.78458947  0.7446      0.76978081
  0.79        0.72325386  0.76696122  0.76782989  0.75719734  0.7407874
  0.7958885   0.79782789  0.79747542]","SVC(C=10, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)","SVC(C=10, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)"
Viri/Viri-Capsid-V-Class_new/Capsids,0.8815,0.036,0.8867,0.0281,0.275,0.156,27.7,['Vir-Capsid_ssDNA+Euk_50' 'dsDNA_45' 'dsRNA_45' 'ssRNA_45'],4,"[ 0.85555556  0.85555556  0.9         0.83333333  0.87777778  0.87777778
  0.86666667  0.86666667  0.91111111  0.82222222  0.85555556  0.95555556
  0.92222222  0.88888889  0.93333333]","[ 0.8885918   0.9220679   0.87871403  0.92127833  0.87699049  0.8763151
  0.8655377   0.82899036  0.84559049  0.90020273  0.91072426  0.88953389
  0.89967641  0.9336542   0.86314168]","SVC(C=10, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.0, kernel='rbf', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)","SVC(C=10, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.0, kernel='rbf', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)"
BenchM/LocTree3/bact,0.7911,0.0424,0.7909,0.0296,0.391,0.22,39.1,['cytoplasm' 'inner_membrane' 'periplasm' 'secreted'],4,"[ 0.74390244  0.90243902  0.79268293  0.75609756  0.73170732  0.7804878
  0.75609756  0.82926829  0.85365854  0.79268293  0.76829268  0.79268293
  0.80487805  0.7804878   0.7804878 ]","[ 0.77285997  0.7975056   0.81424882  0.77059264  0.80061624  0.75652548
  0.79654896  0.75539779  0.71995809  0.80313442  0.84232937  0.79851833
  0.80737127  0.81267447  0.81495245]","RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion='gini', max_depth=None, max_features=0.4,
            max_leaf_nodes=None, min_density=None, min_samples_leaf=1,
            min_samples_split=3, n_estimators=150, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0)","RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion='gini', max_depth=8, max_features=0.4,
            max_leaf_nodes=None, min_density=None, min_samples_leaf=1,
            min_samples_split=3, n_estimators=150, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0)"
BenchM/LocTree3/euk,0.6449,0.0181,0.6471,0.0302,0.379,0.209,37.9,"['chloroplast' 'cytoplasm' 'memer' 'memmitochondria' 'mitochondria'
 'nucleus' 'secreted']",7,"[ 0.62318841  0.63043478  0.64492754  0.65217391  0.63768116  0.63405797
  0.67391304  0.65942029  0.63405797  0.62318841  0.64492754  0.61956522
  0.67028986  0.64855072  0.67753623]","[ 0.66199673  0.59067104  0.66007794  0.65912076  0.67815669  0.64613362
  0.70442918  0.65540826  0.64435954  0.62564187  0.62315686  0.60123436
  0.69231628  0.63097995  0.63306374]","SVC(C=10, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)","SVC(C=50, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.0, kernel='rbf', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)"
BenchM/scop/scopFolds,0.5007,0.0153,0.4825,0.0113,0.0935,0.016,9.4,"['A.118' 'A.24' 'A.39' 'A.4' 'A.60' 'B.1' 'B.29' 'B.34' 'B.40' 'B.55'
 'B.82' 'C.1' 'C.108' 'C.2' 'C.23' 'C.26' 'C.37' 'C.47' 'C.55' 'C.66'
 'C.67' 'C.69' 'C.93' 'C.94' 'D.108' 'D.129' 'D.15' 'D.17' 'D.38' 'D.58'
 'G.3' 'G.37' 'G.39' 'G.41']",34,"[ 0.48497854  0.48640916  0.48354793  0.49928469  0.51216023  0.51788269
  0.51216023  0.4806867   0.48783977  0.53218884  0.49499285  0.49928469
  0.52360515  0.49213162  0.50357654]","[ 0.47393135  0.50042265  0.47832631  0.50188323  0.47449477  0.4871392
  0.48502299  0.47129364  0.46808937  0.48673708  0.47495128  0.48935887
  0.46325143  0.48568948  0.49685205]","SVC(C=0.1, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.1, kernel='linear', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)","SVC(C=0.1, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.1, kernel='linear', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)"
BenchM/scop/HPFP,0.9058,0.0151,0.9133,0.0187,0.321,0.156,32.1,['train_a' 'train_b' 'train_c' 'train_d' 'train_e' 'train_f' 'train_g'],7,"[ 0.88461538  0.90559441  0.8986014   0.90559441  0.92307692  0.8986014
  0.87762238  0.92657343  0.89160839  0.93006993  0.90559441  0.8986014
  0.91258741  0.92657343  0.9020979 ]","[ 0.92549641  0.9022567   0.93366131  0.92270499  0.94410334  0.90974465
  0.89649398  0.904283    0.90185607  0.90516794  0.87201527  0.90781225
  0.93739886  0.90050887  0.93526068]","SVC(C=50, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)","RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion='gini', max_depth=None, max_features=0.4,
            max_leaf_nodes=None, min_density=None, min_samples_leaf=1,
            min_samples_split=2, n_estimators=150, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0)"
BenchM/scop/scopClass_10,0.6147,0.0109,0.6095,0.0091,0.254,0.103,25.4,['A' 'B' 'C' 'D' 'E' 'F' 'G'],7,"[ 0.64095973  0.60582691  0.61182519  0.61096829  0.61610968  0.61782348
  0.59982862  0.6092545   0.63410454  0.61868038  0.61782348  0.62039417
  0.6083976   0.6075407   0.60068552]","[ 0.60577045  0.61766842  0.61668954  0.61087341  0.60868637  0.61716968
  0.59873274  0.61242089  0.61450737  0.5846435   0.60704671  0.62482866
  0.61232057  0.60720018  0.60417487]","SVC(C=150, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.0, kernel='rbf', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)","SVC(C=50, cache_size=1600, class_weight=None, coef0=0.0, degree=3, gamma=0.0,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.005, verbose=False)"
BenchM/scop/scopClass_25,0.6493,0.0128,0.639,0.0098,0.262,0.109,26.2,['A' 'B' 'C' 'D' 'E' 'F' 'G'],7,"[ 0.63121064  0.67179846  0.64310707  0.63960812  0.65710287  0.63960812
  0.65780266  0.6340098   0.63750875  0.63960812  0.64870539  0.67249825
  0.6480056   0.66340098  0.65570329]","[ 0.64907471  0.63906458  0.63837943  0.62496615  0.65482385  0.64090781
  0.65022445  0.63732315  0.63369577  0.64237408  0.63041944  0.64072196
  0.63086391  0.65270562  0.6195521 ]","SVC(C=150, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.0, kernel='rbf', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)","SVC(C=150, cache_size=1600, class_weight='auto', coef0=0.0, degree=3,
  gamma=0.0, kernel='rbf', max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.005, verbose=False)"
