Cluster ID	Length
UniRef100_A0NDK8	171
UniRef100_A0SIF1	234
UniRef100_A0SIX6	215
UniRef100_A5A6J6	211
UniRef100_A6P3B2	388
UniRef100_A7LBC2	157
UniRef100_A7REN2	268
UniRef100_A8CL69	195
UniRef100_A8WGY6	241
UniRef100_A8WTF8	95
UniRef100_A8WU84	90
UniRef100_A8XLL0	66
UniRef100_B0JYL1	258
UniRef100_B2KKR4	196
UniRef100_B2ZB95	141
UniRef100_B2ZB98	141
UniRef100_B2ZB99	141
UniRef100_B2ZBA0	138
UniRef100_B2ZBA1	137
UniRef100_B5M4C3	157
UniRef100_B5X739	257
UniRef100_B6DT16	69
UniRef100_B6E465	331
UniRef100_B7ZMX9	212
UniRef100_D2H957	266
UniRef100_D2IT41	83
UniRef100_D2JZZ9	240
UniRef100_E1BDY2	258
UniRef100_E7D074	239
UniRef100_E7EVP0	154
UniRef100_E7EZ53	118
UniRef100_F1M7S3	248
UniRef100_F1P974	175
UniRef100_F1RJR1	178
UniRef100_F1S889	230
UniRef100_F6QTL3	176
UniRef100_F6R267	253
UniRef100_F6U143	175
UniRef100_F6VPS8	267
UniRef100_F6WU13	267
UniRef100_F6Y5F6	265
UniRef100_F6Z455	176
UniRef100_F7C032	256
UniRef100_F7G204	266
UniRef100_F7H3N8	266
UniRef100_F7IKT7	254
UniRef100_G1NYQ6	252
UniRef100_G1QBA0	174
UniRef100_G1QKU0	338
UniRef100_G1RDL9	254
UniRef100_G1SNI1	250
UniRef100_G1SS99	243
UniRef100_G1T6U7	176
UniRef100_G3I1A5	249
UniRef100_G3QNZ0	254
UniRef100_G3RI49	176
UniRef100_G3RJH3	267
UniRef100_G3SR34	266
UniRef100_G3SWW9	176
UniRef100_G3TA30	255
UniRef100_G3W472	266
UniRef100_G5ASM7	266
UniRef100_G5B4Z8	176
UniRef100_G5BEP7	292
UniRef100_G7MZE3	267
UniRef100_G7PGS9	253
UniRef100_H0V895	176
UniRef100_H0VM75	268
UniRef100_H0VM76	251
UniRef100_H0XTQ0	256
UniRef100_H2P1F2	254
UniRef100_H2PPX8	176
UniRef100_H2PQC7	267
UniRef100_H2QJT9	254
UniRef100_H2QW70	267
UniRef100_H2ZS26	268
UniRef100_H9GA19	267
UniRef100_H9GGQ3	203
UniRef100_I3J9X6	99
UniRef100_I3MGR7	268
UniRef100_I7GHI9	194
UniRef100_K7GJ24	271
UniRef100_K7ZNI8	90
UniRef100_K7ZR41	87
UniRef100_L5JVI8	466
UniRef100_L5JZW5	256
UniRef100_L5L175	157
UniRef100_L5M9U8	266
UniRef100_L7PA78	258
UniRef100_L8J113	263
UniRef100_M3WQK2	266
UniRef100_M3X9I1	176
UniRef100_M3XPG6	175
UniRef100_M3YG93	280
UniRef100_M9P2C1	91
UniRef100_O02036	228
UniRef100_O15130	113
UniRef100_O15980	120
UniRef100_O15981	125
UniRef100_O15982	122
UniRef100_O17058	69
UniRef100_O18641	194
UniRef100_O35417	248
UniRef100_O35852	248
UniRef100_O43612	131
UniRef100_O44185	160
UniRef100_O44314	225
UniRef100_O44662	75
UniRef100_O44663	69
UniRef100_O44664	73
UniRef100_O44665	65
UniRef100_O45027	155
UniRef100_O55232	130
UniRef100_O55241	130
UniRef100_O61389	113
UniRef100_O61466	92
UniRef100_O62647	176
UniRef100_O76534	105
UniRef100_O76818	193
UniRef100_O76947	397
UniRef100_O76948	164
UniRef100_O76949	166
UniRef100_O77220	135
UniRef100_O77668	131
UniRef100_O96605	113
UniRef100_O97374	136
UniRef100_O97383	120
UniRef100_O97384	118
UniRef100_O97385	102
UniRef100_O97386	120
UniRef100_O97387	122
UniRef100_O97511	142
UniRef100_P01165	207
UniRef100_P01210	267
UniRef100_P01211	263
UniRef100_P01212	262
UniRef100_P01213	254
UniRef100_P01214	256
UniRef100_P01289	130
UniRef100_P01303	97
UniRef100_P01304	76
UniRef100_P01360	173
UniRef100_P01361	122
UniRef100_P01362	271
UniRef100_P01364	108
UniRef100_P04094	269
UniRef100_P05408	212
UniRef100_P06300	248
UniRef100_P06308	259
UniRef100_P06518	151
UniRef100_P06767	130
UniRef100_P07194	216
UniRef100_P07480	123
UniRef100_P07712	112
UniRef100_P07808	98
UniRef100_P08021	597
UniRef100_P08379	61
UniRef100_P08435	116
UniRef100_P08858	126
UniRef100_P09040	141
UniRef100_P09892	136
UniRef100_P09971	192
UniRef100_P0C0P5	89
UniRef100_P0C0P6	89
UniRef100_P0C0P7	89
UniRef100_P0C0P8	89
